Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Congestion407,Comments
11/22/2011,7:27,Tuesday,Work,51.65,128.6,76.1,82.6,9.3,40.7,37.5,0.92,
11/21/2011,16:50,Monday,Home,51.31,123.1,60.9,67.2,10.05,50.6,45.8,0.92,
11/21/2011,7:24,Monday,Work,52.25,127.3,38.1,50.3,10.05,82.3,62.4,0.66,
11/17/2011,16:16,Thursday,Home,51.16,127.6,72.4,77.4,10.05,42.4,39.6,0.65,
11/17/2011,7:42,Thursday,Work,51.67,127,70.9,77.7,10.05,43.7,39.9,0.78,
11/16/2011,16:13,Wednesday,Home,51.12,125.1,65,73.1,9.53,47.2,41.9,0.67,
11/16/2011,7:26,Wednesday,Work,51.7,129.8,73.4,80.4,9.53,42.3,38.6,0.8,
11/15/2011,17:36,Tuesday,Home,51.06,122.8,61.4,70.9,9.53,49.9,43.2,0.75,
11/15/2011,7:21,Tuesday,Work,51.5,127.6,70.5,77.7,9.53,43.8,39.8,0.86,
11/14/2011,16:15,Monday,Home,51.06,119.5,64.4,70.2,9.53,47.6,43.6,0.72,
11/14/2011,7:19,Monday,Work,51.66,126.4,55.2,59.1,9.53,56.1,52.5,0.93,
11/10/2011,16:11,Thursday,Home,51.07,129.8,75.2,82.6,9.53,40.8,37.1,0.82,
11/10/2011,7:25,Thursday,Work,51.68,132.5,69.8,74.7,9.53,44.4,41.5,0.82,
11/9/2011,16:15,Wednesday,Home,51.28,121.4,65.9,71.8,9.35,46.7,42.1,0.74,
11/9/2011,7:25,Wednesday,Work,51.79,127.5,65.6,72.4,9.35,47.3,42.9,0.79,
11/8/2011,17:24,Tuesday,Home,50.75,131.3,89.5,93.5,9.35,34.3,32.6,0.53,
11/8/2011,7:25,Tuesday,Work,51.82,126.8,66.1,73.9,9.35,47,42.1,0.95,
11/7/2011,16:05,Monday,Home,51.06,127.4,80.4,85.2,9.35,38.1,36,0.89,
11/7/2011,7:19,Monday,Work,51.62,125.4,74.9,82.9,9.35,41.4,37.4,0.73,
11/4/2011,12:12,Friday,Home,51.03,128.4,82.2,89.7,9.35,37.2,34.1,0.48,Frequent police patrols
11/4/2011,8:16,Friday,Work,51.81,130.2,82.1,85,9.35,37.9,36.6,0.95,
11/3/2011,17:00,Thursday,Home,51.07,130.3,75.8,81.7,8.32,40.4,37.5,0.96,
11/3/2011,7:46,Thursday,Work,51.83,133,80.6,85.4,8.32,38.6,36.4,0.77,
11/2/2011,16:45,Wednesday,Home,51.27,121.5,75.1,79.1,8.32,41,38.9,0.72,
11/2/2011,7:51,Wednesday,Work,51.83,129.3,72.5,78.1,8.32,42.9,39.8,0.89,
11/1/2011,8:13,Tuesday,Work,51.74,129.7,71.8,79.4,8.32,43.2,39.1,0.64,
10/31/2011,15:49,Monday,Home,51.06,125,76.4,85.7,8.32,40.1,35.7,0.73,
10/31/2011,6:21,Monday,Work,50.58,125,104.4,106.2,8.32,29.1,28.6,0.55,
10/28/2011,12:14,Friday,Home,51.28,120.5,83,89.5,8.32,37.1,34.4,0.52,Heavy rain
10/27/2011,8:20,Thursday,Work,51.77,125.6,82.4,89.5,8.97,37.7,34.7,0.79,
10/26/2011,8:20,Wednesday,Work,51.75,127.9,74.6,81.7,8.97,41.6,38,0.75,
10/25/2011,17:24,Tuesday,Home,52.87,123.5,65.1,72.4,8.97,48.7,43.8,0.78,
10/25/2011,8:13,Tuesday,Work,51.75,127.4,72.1,82,8.97,43.1,37.8,0.79,
10/24/2011,17:29,Monday,Home,51.06,126.5,71.6,78.6,8.97,42.8,39,0.78,
10/21/2011,8:31,Friday,Work,50.64,129,106.6,112.1,8.97,28.5,27.1,0.6,
10/20/2011,17:37,Thursday,Home,51.33,125.2,72.5,79.6,8.75,42.5,38.7,0.73,
10/20/2011,8:22,Thursday,Work,51.74,124.5,68.9,79.2,8.75,45,39.2,0.84,
10/19/2011,17:39,Wednesday,Home,51.3,126.2,63.4,73.3,8.75,48.6,42,0.81,
10/19/2011,8:24,Wednesday,,51.68,130.2,75.7,81.6,8.75,41,38,0.91,
10/18/2011,17:28,Tuesday,Home,51.36,133.1,69.5,79.1,8.75,44.4,38.9,0.84,
10/18/2011,8:14,Tuesday,Work,51.74,130.8,80.8,85.2,8.75,38.4,36.5,0.74,
10/17/2011,16:58,Monday,Home,51.3,127.3,78.6,82.9,8.75,39.1,37.1,0.97,
10/17/2011,8:22,Monday,Work,50.61,137.1,93.7,100.3,8.75,32.4,30.3,0.59,
10/13/2011,8:36,Thursday,Work,50.66,128.3,105.5,111.3,8.75,28.8,27.3,0.52,
10/12/2011,17:47,Wednesday,Home,51.4,114.4,59.7,65.8,8.75,51.7,46.9,0.96,
10/12/2011,8:28,Wednesday,Work,50.58,128.4,59.5,67.3,8.75,51,45.1,0.46,
10/11/2011,17:17,Tuesday,Home,51.52,135.1,67.3,78.4,7.81,46,39.5,0.77,
10/11/2011,8:25,Tuesday,Work,48.94,130.8,85.7,93.2,7.81,34.3,31.5,0.52,
10/7/2011,12:15,Friday,Home,51.02,124.8,80.4,88.9,7.97,38.1,34.4,0.44,
10/7/2011,8:23,Friday,Work,50.68,128.3,101.9,107.2,7.97,29.9,28.4,0.52,
10/6/2011,17:58,Thursday,Home,51.29,126,73.3,76.3,7.97,42,40.3,0.98,
10/6/2011,8:22,Thursday,Work,50.63,125.6,38.5,103.8,7.97,30.8,29.3,0.53,
10/5/2011,17:10,Wednesday,Home,51.31,127.5,69.5,75.5,7.97,44.3,40.8,0.8,
10/5/2011,8:36,Wednesday,Work,50.59,128.5,103.4,108,7.97,29.4,28.1,0.52,
10/4/2011,17:39,Tuesday,Home,51.15,128.8,76,85.2,7.97,40.4,36,0.7,
10/4/2011,7:42,Tuesday,Work,50.67,127.3,94.9,97.9,7.97,32,31.1,0.4,
10/3/2011,17:31,Monday,Home,51.22,126.7,81.2,86.4,7.97,37.8,35.6,0.71,
10/3/2011,7:41,Monday,Work,50.65,127.4,91.1,95.2,7.97,33.4,31.9,0.57,
9/29/2011,17:17,Thursday,Home,51.39,128.4,65.3,71.9,8.93,47.2,42.9,0.7,
9/29/2011,8:22,Thursday,Work,50.65,122.8,83.5,86.9,8.93,36.4,35,0.59,
9/28/2011,17:53,Wednesday,Home,51.23,124.9,79.2,81.5,8.93,38.8,37.7,0.99,
9/28/2011,7:57,Wednesday,Work,50.65,128.8,102.2,105.7,8.93,29.7,28.7,0.53,
9/27/2011,17:26,Tuesday,Home,51.11,130.1,69.8,75.6,8.31,44,40.6,0.68,
9/27/2011,7:36,Tuesday,Work,50.65,128.1,86.3,88.6,8.31,35.2,34.3,0.4,
9/26/2011,17:37,Monday,Home,50.69,132.3,97.2,103.6,8.31,31.3,29.3,0.4,
9/26/2011,8:02,Monday,Work,50.65,129.4,88.2,91.3,8.31,34.4,33.3,0.49,
9/22/2011,17:27,Thursday,Home,51.11,124.8,74.3,79.6,8.31,41.3,38.5,0.83,
9/22/2011,7:37,Thursday,Work,50.67,130,97.6,101.6,8.31,31.1,29.9,0.43,
9/21/2011,18:05,Wednesday,Home,51.74,133.3,82.9,89.2,8.33,37.4,34.8,0.58,
9/21/2011,8:02,Wednesday,Work,49.16,128.7,59.5,68,8.33,49.6,43.4,0.65,
9/20/2011,17:20,Tuesday,Home,51.23,127.2,71.7,76.9,8.33,42.9,40,0.76,
9/20/2011,8:10,Tuesday,Work,51.69,128.7,70.4,70.1,8.33,44.1,39.7,0.95,
9/19/2011,16:43,Monday,Home,51.3,123.9,69.6,75.2,8.33,44.2,40.9,0.84,
9/19/2011,6:34,Monday,Work,49.09,123.7,69.4,79.1,8.33,42.4,37.3,0.81,
9/15/2011,17:50,Thursday,Home,51.13,127.5,69,75.9,8.33,44.4,40.4,0.71,
9/15/2011,8:08,Thursday,Work,50.67,129.3,99,103.3,8.33,30.7,29.4,0.47,
9/14/2011,17:36,Wednesday,Home,51.77,127,71.1,79.6,8.33,43.7,39,0.65,
9/14/2011,8:11,Wednesday,Work,50.54,126.8,98.7,103.7,8.33,30.7,29.3,0.43,
9/13/2011,17:22,Tuesday,Home,51.58,134.3,70,80,8.5,44.2,38.7,0.73,
9/13/2011,7:51,Tuesday,Work,49.12,129.1,52.7,63.2,8.5,55.9,46.6,0.73,
9/12/2011,17:04,Monday,Home,51.43,131.1,75.1,79.5,8.5,40.6,38.8,0.64,
9/12/2011,8:05,Monday,Work,49.12,127.5,65.7,73.1,8.5,44.8,40.3,0.96,
9/8/2011,16:37,Thursday,Home,50.92,137,66.9,77.7,8.5,45.6,39.3,0.7,
9/8/2011,7:23,Thursday,Work,49.25,124.7,53.5,63.1,8.5,55.2,46.9,0.81,
9/7/2011,17:24,Wednesday,Home,51.34,132.8,71.5,76.6,8.5,43.1,40.2,0.84,
9/7/2011,7:57,Wednesday,Work,49.08,125.1,56.5,66.5,8.5,52.1,44.3,0.82,
9/6/2011,16:27,Tuesday,Home,52.88,131.6,95.4,98.3,8.5,33.3,32.3,0.48,
9/6/2011,7:50,Tuesday,Work,54.36,132.5,95.1,98,8.5,34.3,33.3,0.46,
9/2/2011,17:07,Friday,Home,51.17,129.7,77.7,87.9,8.5,39.5,34.9,0.73,
9/2/2011,7:39,Friday,Work,51.65,132.7,82.6,91.4,8.5,37.5,33.9,0.91,
9/1/2011,17:33,Thursday,Home,52.42,128.9,81.6,88,8.5,38.5,35.7,0.77,
9/1/2011,8:08,Thursday,Work,49.13,126.8,67.3,73.9,8.5,43.8,39.9,0.73,
8/31/2011,17:14,Wednesday,Home,51.15,140.9,71.5,79.5,8.5,42.9,38.6,0.68,
8/31/2011,8:09,Wednesday,Work,49.07,127.7,65.9,77.3,8.5,44.7,38.1,0.76,
8/30/2011,17:38,Tuesday,Home,51.66,138,67.1,73.2,8.5,46.2,42.4,0.8,
8/30/2011,7:57,Tuesday,Work,49.04,133.5,69.1,77.8,8.5,42.6,37.8,0.95,
8/29/2011,17:11,Monday,Home,51.04,131,75.5,84.1,8.5,40.5,36.4,0.83,
8/29/2011,7:48,Monday,Work,49.15,124,63.9,74,8.5,46.1,39.9,0.93,
8/26/2011,16:29,Friday,Home,50.88,132.7,81.1,86.9,8.54,37.6,35.2,0.93,
8/26/2011,7:49,Friday,Work,49.01,129.1,76.3,83.3,8.54,38.6,35.3,0.88,
8/25/2011,17:39,Thursday,Home,51.23,132.8,64.2,70.6,8.54,47.9,43.5,0.86,
8/25/2011,9:09,Thursday,Work,50.45,133.5,106.8,111.1,8.54,28.3,27.3,0.6,
8/24/2011,16:47,Wednesday,Home,51.01,132.9,79.6,86.1,8.54,38.5,38.5,0.85,
8/24/2011,7:59,Wednesday,Work,49.07,127.1,58.5,71.5,8.54,50.3,41.1,0.7,
8/23/2011,17:23,Tuesday,Home,51.22,129.7,79.7,84.5,8.54,38.5,36.4,0.91,
8/23/2011,7:54,Tuesday,Work,49.2,124.5,71,76.7,8.54,41.6,38.5,0.7,
8/22/2011,16:44,Monday,Home,51.12,126.8,77.9,85.2,8.54,39.6,36,0.61,
8/22/2011,7:49,Monday,Work,49.18,123.8,65.6,73.3,8.54,45,40.2,0.65,
8/19/2011,17:42,Friday,Home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,0.7,
8/19/2011,7:05,Friday,Work,49.18,123,72,81.4,8.37,41,36.3,0.66,
8/18/2011,17:05,Thursday,Home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,0.95,
8/18/2011,8:11,Thursday,Work,52.26,137.7,51.2,64.1,8.37,61.2,48.9,0.99,
8/17/2011,17:17,Wednesday,Home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,0.87,
8/17/2011,8:10,Wednesday,Work,49.1,124.8,67.9,76.2,8.37,43.4,38.7,0.73,
8/16/2011,17:27,Tuesday,Home,51.14,133.4,82.4,87,8.37,37.2,35.3,0.55,Accident
8/16/2011,8:15,Tuesday,Work,49.14,131.7,75,80.2,8.37,39.3,36.7,0.95,
8/15/2011,17:38,Monday,Home,51.11,132.3,78,83.7,8.37,39.3,36.7,0.93,
8/15/2011,8:15,Monday,Work,49.2,124.7,71.3,75.7,8.37,41.4,39,0.96,
8/12/2011,17:25,Friday,Home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,0.64,
8/12/2011,8:05,Friday,Work,49.02,128.4,76.7,82.9,8.54,38.4,35.5,0.96,
8/11/2011,17:25,Thursday,Home,51.18,133.6,80.7,86,8.54,38,35.7,0.87,
8/11/2011,8:13,Thursday,Work,48.99,125.5,68.3,79.5,8.54,43,37,0.74,
8/10/2011,17:14,Wednesday,Home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,0.81,
8/10/2011,8:13,Wednesday,Work,48.98,124.8,72.8,78.8,8.54,40.4,37.3,0.67,
8/9/2011,17:13,Tuesday,Home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,0.98,
8/9/2011,8:15,Tuesday,Work,49.08,134.8,60.5,67.2,8.54,48.7,43.8,0.68,
8/8/2011,17:05,Monday,Home,52.35,127.5,76.9,84.2,8.54,40.9,37.3,0.91,
8/8/2011,8:07,Monday,Work,49.25,126.3,68.5,78.2,8.54,43.1,37.8,0.8,
8/5/2011,17:00,Friday,Home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,0.61,
8/5/2011,8:20,Friday,Work,49.13,123.9,74.1,79.9,8.48,39.8,36.9,0.81,
8/4/2011,17:38,Thursday,,50.96,131.9,70.3,78.5,8.48,43.5,38.9,0.99,
8/4/2011,8:17,Thursday,Work,49.12,122.4,71.5,77.3,8.48,41.2,38.2,0.67,
8/3/2011,17:14,Wednesday,Home,51.64,125,72.2,78.7,8.48,42.9,39.4,0.79,
8/3/2011,8:06,Wednesday,Work,49.06,121.9,71.5,78.7,8.48,41.2,37.4,0.9,
8/2/2011,17:22,Tuesday,,51.16,124.2,76.3,83.2,8.48,40.2,36.9,0.72,
8/2/2011,7:38,Tuesday,Work,53.48,124.9,68.8,78.8,8.48,46.7,40.7,0.98,
7/29/2011,20:31,Friday,,50.68,135.6,107.7,110.4,8.45,28.2,27.6,0.43,
7/29/2011,8:22,Friday,Work,49.07,121.1,73.2,77.7,8.45,40.2,37.9,0.7,
7/28/2011,17:46,Thursday,Home,51.09,128.5,76,84.8,8.45,40.3,36.2,0.76,
7/28/2011,8:11,Thursday,Work,49.11,120.1,69.1,73.1,8.45,42.6,40.3,0.68,
7/27/2011,17:24,Wednesday,Home,50.98,124.9,68.3,71.9,8.45,44.8,42.6,0.73,
7/27/2011,8:15,Wednesday,Work,48.82,124.5,70.4,77.8,8.45,41.6,37.6,0.61,
7/26/2011,17:15,Tuesday,Home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,0.86,
7/26/2011,8:11,Tuesday,Work,49.16,122.6,71.9,76.8,8.45,41,38.4,0.89,
7/25/2011,16:59,Monday,Home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,0.84,
7/25/2011,8:06,Monday,Work,48.32,121.2,63.4,78.4,8.45,45.7,37,0.98,
7/22/2011,16:47,Friday,Home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,0.8,
7/22/2011,8:28,Friday,Work,51.05,123.3,88.9,96.7,8.28,34.5,31.7,0.46,
7/21/2011,7:59,Thursday,Work,48.35,129.3,81.5,89,8.28,35.6,32.6,0.5,
7/20/2011,17:17,Wednesday,Home,53.47,124,58.6,71,7.89,54.8,45.2,0.99,
7/20/2011,8:24,Wednesday,Work,48.5,125.8,75.7,87.3,7.89,38.5,33.3,0.41,
7/19/2011,17:17,Tuesday,Home,51.16,126.7,92.2,102.6,7.89,33.3,29.9,0.49,
7/19/2011,8:11,Tuesday,Work,50.96,124.3,82.3,96.4,7.89,37.2,31.7,0.43,
7/18/2011,8:09,Monday,Work,54.52,125.6,49.9,82.4,7.89,65.5,39.7,0.75,
7/14/2011,8:03,Thursday,Work,50.9,123.7,76.2,95.1,7.89,40.1,32.1,0.48,
7/13/2011,17:08,Wednesday,Home,51.96,132.6,57.5,76.7,,54.2,40.6,0.57,
7/12/2011,17:51,Tuesday,Home,53.28,125.8,61.6,87.6,,51.9,36.5,0.43,
7/11/2011,16:56,Monday,Home,51.73,125,62.8,92.5,,49.5,33.6,0.53,
